name	type_id	id	lat	lng
四季民福炸酱面馆(前门廊坊二条店)	1	6946923	39.897054	116.397432	8
大董(北京团结湖店)	1	4038	39.932888	116.462175	8
老北京胡同游	3	5428430	39.93319	116.38044	8
小吊梨汤(畅春园店)	1	6946637	39.988588	116.304155	9
老北京炸酱面大王(崇文门总店)	1	4858	39.89698	116.415066	9
午门	3	21463	39.913905	116.39733	9
Meeting-Someone	1	22323577	39.895305	116.390769	9
周口店坡峰岭风景区	3	6796690	39.694948	115.84238	9
北京天文馆	3	6100366	39.937338	116.336706	9
京兆尹	1	13729964	39.948124	116.416179	9
四叶寿司(三里屯店)	1	22327795	39.945761	116.45266	9
胡桃里音乐酒馆(丽都明星店)	1	22323568	39.974005	116.481485	9
定陵	3	809028	40.295019	116.225529	9
敕建大觉禅寺	3	4127	40.052637	116.106153	9
宜家家居	4	4139	39.977134	116.46325	9
天安门广场-人民英雄纪念碑	3	3741	39.904618	116.397679	9
北新桥卤煮老店	1	149377	39.937249	116.41684	9
颐和园长廊	3	6627764	39.997871	116.271991	9
牛街	1	104241	39.8864722	116.3635442	10
黑龙潭自然风景区	3	4250	40.563839	116.801125	10
北京大栅栏	3	3527	39.895047	116.396313	10
庆丰包子铺(西苑店)	1	6946519	39.996878	116.296117	10
大董(北京南新仓店)	1	21548	39.932894	116.431068	10
那家小馆(七九八店)	1	154921	39.987616	116.49375	10
雪崴(中国红街店)	1	22327798	39.932958	116.4507	10
故宫博物院-御花园	3	6627768	39.921459	116.39682	10
马蜂窝全球总部	3	9946320	39.990059131425	116.49342162912	10
故曰酒吧	1	34281888	39.934528	116.444664	10
圆明园-大水法	3	6903643	40.013459	116.312665	10
北京园博园	3	6627932	39.875744	116.190812	10
宋庆龄同志故居	3	3561	39.94552	116.38301	10
中南海	3	4037	39.907671	116.385965	10
铃木食堂(小菊儿胡同店)	1	7377890	39.940125	116.403735	10
北京T3日上免税店	4	5979394	40.082342	116.595022	11
国贸商城	4	22922	39.910128987852	116.46065378189	11
潘家园旧货市场	4	4873	39.87593460083	116.45834350586	11
门框胡同百年卤煮(新街口店)	1	6946687	39.897211	116.396988	11
紫竹院公园	3	3998	39.942263	116.319408	11
正阳门	3	21606	39.899447	116.397964	11
昆明湖	3	5195	39.994456	116.27335	11
太和殿	3	834363	39.917321	116.397056	11
小吊梨汤(新奥店)	1	13011737	39.999916	116.39427	11
福楼毕斯罗	1	29597474	39.912543	116.45956	11
中央电视台新台址	3	102620	39.915275058912	116.46423049271	11
京东大峡谷	3	22126	40.245149	117.168478	11
藏红花西餐厅	1	839929	39.948425	116.411909	11
过客(南锣鼓巷店)	1	5143	39.935298	116.403236	11
陶然亭公园	3	4412	39.87448	116.38197	11
护国寺小吃街	1	6946358	39.934947207418	116.37526906587	12
海碗居北京菜(牡丹园店)	1	21314	39.977949	116.367926	12
Page-One(北京坊店)	4	33699756	39.898224584493	116.39707369191	12
九花山烤鸭店	1	9224	39.92932	116.31243	12
